id,date,store_nbr,item_nbr,unit_sales,onpromotion,year,month,day,dayofweek,weekofyear,is_weekend,quarter,is_month_start,is_month_end,season
66458908,2016-01-01,25,105574,12.0,0,2016,1,1,4,53,0,1,1,0,0
66458909,2016-01-01,25,105575,9.0,0,2016,1,1,4,53,0,1,1,0,0
66458910,2016-01-01,25,105857,3.0,0,2016,1,1,4,53,0,1,1,0,0
66458911,2016-01-01,25,108634,3.0,0,2016,1,1,4,53,0,1,1,0,0
66458912,2016-01-01,25,108701,2.0,1,2016,1,1,4,53,0,1,1,0,0
66458913,2016-01-01,25,108786,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458914,2016-01-01,25,108797,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458915,2016-01-01,25,108952,12.0,0,2016,1,1,4,53,0,1,1,0,0
66458916,2016-01-01,25,111397,5.0,0,2016,1,1,4,53,0,1,1,0,0
66458917,2016-01-01,25,114790,4.0,0,2016,1,1,4,53,0,1,1,0,0
66458918,2016-01-01,25,114799,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458919,2016-01-01,25,114800,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458920,2016-01-01,25,115267,3.0,0,2016,1,1,4,53,0,1,1,0,0
66458921,2016-01-01,25,115611,6.0,0,2016,1,1,4,53,0,1,1,0,0
66458922,2016-01-01,25,115693,3.0,0,2016,1,1,4,53,0,1,1,0,0
66458923,2016-01-01,25,115720,10.0,0,2016,1,1,4,53,0,1,1,0,0
66458924,2016-01-01,25,115850,3.0,0,2016,1,1,4,53,0,1,1,0,0
66458925,2016-01-01,25,115891,16.0,0,2016,1,1,4,53,0,1,1,0,0
66458926,2016-01-01,25,115892,10.0,0,2016,1,1,4,53,0,1,1,0,0
66458927,2016-01-01,25,115894,8.0,0,2016,1,1,4,53,0,1,1,0,0
66458928,2016-01-01,25,116017,9.0,0,2016,1,1,4,53,0,1,1,0,0
66458929,2016-01-01,25,119023,5.0,0,2016,1,1,4,53,0,1,1,0,0
66458930,2016-01-01,25,119024,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458931,2016-01-01,25,119026,14.0,0,2016,1,1,4,53,0,1,1,0,0
66458932,2016-01-01,25,119141,5.0,0,2016,1,1,4,53,0,1,1,0,0
66458934,2016-01-01,25,122425,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458936,2016-01-01,25,123927,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458937,2016-01-01,25,127534,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458938,2016-01-01,25,127547,3.0,1,2016,1,1,4,53,0,1,1,0,0
66458939,2016-01-01,25,129296,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458940,2016-01-01,25,129297,4.0,0,2016,1,1,4,53,0,1,1,0,0
66458942,2016-01-01,25,129758,15.0,0,2016,1,1,4,53,0,1,1,0,0
66458943,2016-01-01,25,153078,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458944,2016-01-01,25,153239,14.0,0,2016,1,1,4,53,0,1,1,0,0
66458945,2016-01-01,25,153267,8.0,0,2016,1,1,4,53,0,1,1,0,0
66458946,2016-01-01,25,153398,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458947,2016-01-01,25,155601,6.0,0,2016,1,1,4,53,0,1,1,0,0
66458948,2016-01-01,25,155607,4.0,0,2016,1,1,4,53,0,1,1,0,0
66458949,2016-01-01,25,155610,3.0,0,2016,1,1,4,53,0,1,1,0,0
66458950,2016-01-01,25,155621,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458951,2016-01-01,25,158680,2.0,1,2016,1,1,4,53,0,1,1,0,0
66458952,2016-01-01,25,158788,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458953,2016-01-01,25,158789,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458954,2016-01-01,25,158842,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458955,2016-01-01,25,158875,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458956,2016-01-01,25,158956,3.0,0,2016,1,1,4,53,0,1,1,0,0
66458958,2016-01-01,25,159242,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458959,2016-01-01,25,162066,3.0,0,2016,1,1,4,53,0,1,1,0,0
66458960,2016-01-01,25,164037,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458961,2016-01-01,25,164088,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458962,2016-01-01,25,164647,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458963,2016-01-01,25,165550,12.0,0,2016,1,1,4,53,0,1,1,0,0
66458964,2016-01-01,25,165551,4.0,0,2016,1,1,4,53,0,1,1,0,0
66458965,2016-01-01,25,165553,12.0,0,2016,1,1,4,53,0,1,1,0,0
66458967,2016-01-01,25,165693,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458969,2016-01-01,25,165705,8.0,0,2016,1,1,4,53,0,1,1,0,0
66458970,2016-01-01,25,165988,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458972,2016-01-01,25,168930,9.0,0,2016,1,1,4,53,0,1,1,0,0
66458973,2016-01-01,25,168989,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458974,2016-01-01,25,170791,4.0,0,2016,1,1,4,53,0,1,1,0,0
66458975,2016-01-01,25,173113,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458976,2016-01-01,25,177050,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458977,2016-01-01,25,177395,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458978,2016-01-01,25,179564,3.0,0,2016,1,1,4,53,0,1,1,0,0
66458979,2016-01-01,25,179600,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458980,2016-01-01,25,179615,13.0,0,2016,1,1,4,53,0,1,1,0,0
66458981,2016-01-01,25,205387,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458982,2016-01-01,25,205486,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458983,2016-01-01,25,205557,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458984,2016-01-01,25,207857,15.0,0,2016,1,1,4,53,0,1,1,0,0
66458985,2016-01-01,25,208386,4.0,1,2016,1,1,4,53,0,1,1,0,0
66458986,2016-01-01,25,208426,3.0,1,2016,1,1,4,53,0,1,1,0,0
66458987,2016-01-01,25,208498,5.0,0,2016,1,1,4,53,0,1,1,0,0
66458988,2016-01-01,25,208514,6.0,0,2016,1,1,4,53,0,1,1,0,0
66458989,2016-01-01,25,208530,8.125,0,2016,1,1,4,53,0,1,1,0,0
66458990,2016-01-01,25,208659,7.0,0,2016,1,1,4,53,0,1,1,0,0
66458991,2016-01-01,25,209085,5.0,0,2016,1,1,4,53,0,1,1,0,0
66458992,2016-01-01,25,211203,11.0,0,2016,1,1,4,53,0,1,1,0,0
66458993,2016-01-01,25,212550,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458994,2016-01-01,25,213653,3.0,0,2016,1,1,4,53,0,1,1,0,0
66458995,2016-01-01,25,213788,3.0,0,2016,1,1,4,53,0,1,1,0,0
66458996,2016-01-01,25,214381,2.0,0,2016,1,1,4,53,0,1,1,0,0
66458997,2016-01-01,25,214859,1.0,0,2016,1,1,4,53,0,1,1,0,0
66458998,2016-01-01,25,214862,3.0,0,2016,1,1,4,53,0,1,1,0,0
66458999,2016-01-01,25,215303,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459000,2016-01-01,25,215304,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459001,2016-01-01,25,215331,9.0,0,2016,1,1,4,53,0,1,1,0,0
66459002,2016-01-01,25,215332,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459003,2016-01-01,25,215352,7.0,0,2016,1,1,4,53,0,1,1,0,0
66459005,2016-01-01,25,215370,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459006,2016-01-01,25,217827,9.0,0,2016,1,1,4,53,0,1,1,0,0
66459007,2016-01-01,25,219147,7.0,0,2016,1,1,4,53,0,1,1,0,0
66459009,2016-01-01,25,219152,14.0,0,2016,1,1,4,53,0,1,1,0,0
66459010,2016-01-01,25,220435,16.0,0,2016,1,1,4,53,0,1,1,0,0
66459011,2016-01-01,25,220613,6.0,1,2016,1,1,4,53,0,1,1,0,0
66459012,2016-01-01,25,222879,15.0,0,2016,1,1,4,53,0,1,1,0,0
66459013,2016-01-01,25,223434,4.0,0,2016,1,1,4,53,0,1,1,0,0
66459014,2016-01-01,25,224081,5.0,0,2016,1,1,4,53,0,1,1,0,0
66459015,2016-01-01,25,226857,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459016,2016-01-01,25,227111,2.0,1,2016,1,1,4,53,0,1,1,0,0
66459017,2016-01-01,25,229368,12.0,0,2016,1,1,4,53,0,1,1,0,0
66459018,2016-01-01,25,246052,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459019,2016-01-01,25,250782,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459020,2016-01-01,25,252970,4.0,0,2016,1,1,4,53,0,1,1,0,0
66459021,2016-01-01,25,252972,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459022,2016-01-01,25,253103,14.0,0,2016,1,1,4,53,0,1,1,0,0
66459023,2016-01-01,25,253145,10.0,0,2016,1,1,4,53,0,1,1,0,0
66459024,2016-01-01,25,255161,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459025,2016-01-01,25,255202,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459029,2016-01-01,25,258376,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459030,2016-01-01,25,258395,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459031,2016-01-01,25,258396,11.0,0,2016,1,1,4,53,0,1,1,0,0
66459032,2016-01-01,25,258537,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459033,2016-01-01,25,261052,8.0,0,2016,1,1,4,53,0,1,1,0,0
66459034,2016-01-01,25,261053,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459035,2016-01-01,25,261700,6.0,0,2016,1,1,4,53,0,1,1,0,0
66459036,2016-01-01,25,262358,5.0,0,2016,1,1,4,53,0,1,1,0,0
66459037,2016-01-01,25,262991,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459038,2016-01-01,25,264452,4.0,0,2016,1,1,4,53,0,1,1,0,0
66459039,2016-01-01,25,264752,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459040,2016-01-01,25,265237,9.0,0,2016,1,1,4,53,0,1,1,0,0
66459041,2016-01-01,25,265254,16.0,0,2016,1,1,4,53,0,1,1,0,0
66459042,2016-01-01,25,265257,13.0,0,2016,1,1,4,53,0,1,1,0,0
66459043,2016-01-01,25,265258,9.0,0,2016,1,1,4,53,0,1,1,0,0
66459044,2016-01-01,25,265279,11.0,0,2016,1,1,4,53,0,1,1,0,0
66459046,2016-01-01,25,268662,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459047,2016-01-01,25,268676,9.0,0,2016,1,1,4,53,0,1,1,0,0
66459048,2016-01-01,25,268834,5.0,0,2016,1,1,4,53,0,1,1,0,0
66459050,2016-01-01,25,269036,17.0,0,2016,1,1,4,53,0,1,1,0,0
66459051,2016-01-01,25,269287,9.0,0,2016,1,1,4,53,0,1,1,0,0
66459052,2016-01-01,25,273528,14.0,0,2016,1,1,4,53,0,1,1,0,0
66459053,2016-01-01,25,275823,4.0,0,2016,1,1,4,53,0,1,1,0,0
66459054,2016-01-01,25,275826,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459055,2016-01-01,25,278806,4.0,0,2016,1,1,4,53,0,1,1,0,0
66459056,2016-01-01,25,279137,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459057,2016-01-01,25,279157,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459058,2016-01-01,25,302952,6.0,0,2016,1,1,4,53,0,1,1,0,0
66459059,2016-01-01,25,302998,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459060,2016-01-01,25,305080,15.0,0,2016,1,1,4,53,0,1,1,0,0
66459061,2016-01-01,25,305227,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459063,2016-01-01,25,305341,4.0,0,2016,1,1,4,53,0,1,1,0,0
66459064,2016-01-01,25,305344,10.0,0,2016,1,1,4,53,0,1,1,0,0
66459065,2016-01-01,25,308085,6.0,0,2016,1,1,4,53,0,1,1,0,0
66459066,2016-01-01,25,308726,12.0,0,2016,1,1,4,53,0,1,1,0,0
66459067,2016-01-01,25,308916,16.0,0,2016,1,1,4,53,0,1,1,0,0
66459069,2016-01-01,25,310647,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459070,2016-01-01,25,311954,4.0,0,2016,1,1,4,53,0,1,1,0,0
66459072,2016-01-01,25,312324,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459074,2016-01-01,25,314393,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459075,2016-01-01,25,314570,6.0,0,2016,1,1,4,53,0,1,1,0,0
66459076,2016-01-01,25,314881,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459079,2016-01-01,25,315179,12.0,0,2016,1,1,4,53,0,1,1,0,0
66459080,2016-01-01,25,315180,7.0,0,2016,1,1,4,53,0,1,1,0,0
66459081,2016-01-01,25,315320,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459082,2016-01-01,25,315322,10.0,0,2016,1,1,4,53,0,1,1,0,0
66459084,2016-01-01,25,315463,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459086,2016-01-01,25,318847,4.0,0,2016,1,1,4,53,0,1,1,0,0
66459087,2016-01-01,25,318932,1.0,1,2016,1,1,4,53,0,1,1,0,0
66459088,2016-01-01,25,319093,3.0,1,2016,1,1,4,53,0,1,1,0,0
66459089,2016-01-01,25,319094,6.0,1,2016,1,1,4,53,0,1,1,0,0
66459090,2016-01-01,25,319272,5.0,0,2016,1,1,4,53,0,1,1,0,0
66459091,2016-01-01,25,322094,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459092,2016-01-01,25,322095,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459093,2016-01-01,25,323013,8.0,0,2016,1,1,4,53,0,1,1,0,0
66459094,2016-01-01,25,323921,4.0,0,2016,1,1,4,53,0,1,1,0,0
66459095,2016-01-01,25,324206,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459096,2016-01-01,25,326951,5.0,0,2016,1,1,4,53,0,1,1,0,0
66459097,2016-01-01,25,329070,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459098,2016-01-01,25,329361,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459099,2016-01-01,25,329362,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459100,2016-01-01,25,329397,12.0,0,2016,1,1,4,53,0,1,1,0,0
66459101,2016-01-01,25,346065,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459102,2016-01-01,25,352513,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459103,2016-01-01,25,354922,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459104,2016-01-01,25,358100,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459105,2016-01-01,25,358231,4.0,0,2016,1,1,4,53,0,1,1,0,0
66459106,2016-01-01,25,358264,11.0,0,2016,1,1,4,53,0,1,1,0,0
66459107,2016-01-01,25,358272,7.0,0,2016,1,1,4,53,0,1,1,0,0
66459108,2016-01-01,25,358515,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459109,2016-01-01,25,358519,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459110,2016-01-01,25,358561,5.0,0,2016,1,1,4,53,0,1,1,0,0
66459111,2016-01-01,25,358564,16.0,0,2016,1,1,4,53,0,1,1,0,0
66459112,2016-01-01,25,359913,9.0,0,2016,1,1,4,53,0,1,1,0,0
66459114,2016-01-01,25,360703,4.0,0,2016,1,1,4,53,0,1,1,0,0
66459115,2016-01-01,25,360704,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459116,2016-01-01,25,361502,6.0,0,2016,1,1,4,53,0,1,1,0,0
66459117,2016-01-01,25,362548,12.0,0,2016,1,1,4,53,0,1,1,0,0
66459118,2016-01-01,25,363868,7.0,0,2016,1,1,4,53,0,1,1,0,0
66459119,2016-01-01,25,364413,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459121,2016-01-01,25,364724,14.0,0,2016,1,1,4,53,0,1,1,0,0
66459123,2016-01-01,25,364829,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459124,2016-01-01,25,364834,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459126,2016-01-01,25,365138,4.0,0,2016,1,1,4,53,0,1,1,0,0
66459127,2016-01-01,25,365139,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459128,2016-01-01,25,365140,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459129,2016-01-01,25,368136,10.0,0,2016,1,1,4,53,0,1,1,0,0
66459130,2016-01-01,25,368139,8.0,0,2016,1,1,4,53,0,1,1,0,0
66459131,2016-01-01,25,368140,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459132,2016-01-01,25,368260,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459135,2016-01-01,25,369432,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459136,2016-01-01,25,370042,12.0,0,2016,1,1,4,53,0,1,1,0,0
66459137,2016-01-01,25,371130,13.0,0,2016,1,1,4,53,0,1,1,0,0
66459138,2016-01-01,25,371434,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459139,2016-01-01,25,372369,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459140,2016-01-01,25,372480,5.0,0,2016,1,1,4,53,0,1,1,0,0
66459141,2016-01-01,25,372924,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459142,2016-01-01,25,373152,6.0,0,2016,1,1,4,53,0,1,1,0,0
66459143,2016-01-01,25,374464,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459144,2016-01-01,25,376194,9.0,0,2016,1,1,4,53,0,1,1,0,0
66459145,2016-01-01,25,376427,5.0,1,2016,1,1,4,53,0,1,1,0,0
66459146,2016-01-01,25,378330,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459147,2016-01-01,25,378685,9.0,0,2016,1,1,4,53,0,1,1,0,0
66459148,2016-01-01,25,401817,8.0,0,2016,1,1,4,53,0,1,1,0,0
66459149,2016-01-01,25,402136,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459151,2016-01-01,25,402175,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459152,2016-01-01,25,404442,5.0,0,2016,1,1,4,53,0,1,1,0,0
66459153,2016-01-01,25,406965,6.0,0,2016,1,1,4,53,0,1,1,0,0
66459155,2016-01-01,25,407533,3.0,1,2016,1,1,4,53,0,1,1,0,0
66459156,2016-01-01,25,409739,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459157,2016-01-01,25,410257,15.0,0,2016,1,1,4,53,0,1,1,0,0
66459158,2016-01-01,25,410866,16.0,0,2016,1,1,4,53,0,1,1,0,0
66459159,2016-01-01,25,413557,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459160,2016-01-01,25,413987,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459161,2016-01-01,25,414305,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459162,2016-01-01,25,414425,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459163,2016-01-01,25,414426,11.0,0,2016,1,1,4,53,0,1,1,0,0
66459165,2016-01-01,25,414455,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459167,2016-01-01,25,414623,14.0,0,2016,1,1,4,53,0,1,1,0,0
66459168,2016-01-01,25,414750,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459170,2016-01-01,25,414888,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459171,2016-01-01,25,417765,13.0,0,2016,1,1,4,53,0,1,1,0,0
66459172,2016-01-01,25,417835,6.0,0,2016,1,1,4,53,0,1,1,0,0
66459173,2016-01-01,25,418024,4.0,1,2016,1,1,4,53,0,1,1,0,0
66459174,2016-01-01,25,418025,4.0,1,2016,1,1,4,53,0,1,1,0,0
66459177,2016-01-01,25,419729,4.0,1,2016,1,1,4,53,0,1,1,0,0
66459178,2016-01-01,25,421066,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459179,2016-01-01,25,422452,7.0,0,2016,1,1,4,53,0,1,1,0,0
66459180,2016-01-01,25,426155,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459182,2016-01-01,25,454326,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459183,2016-01-01,25,454593,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459184,2016-01-01,25,456870,5.0,0,2016,1,1,4,53,0,1,1,0,0
66459185,2016-01-01,25,456875,2.0,0,2016,1,1,4,53,0,1,1,0,0
66459187,2016-01-01,25,457425,3.0,1,2016,1,1,4,53,0,1,1,0,0
66459188,2016-01-01,25,457688,3.0,0,2016,1,1,4,53,0,1,1,0,0
66459189,2016-01-01,25,457727,1.0,0,2016,1,1,4,53,0,1,1,0,0
66459190,2016-01-01,25,457928,12.318,1,2016,1,1,4,53,0,1,1,0,0
66459191,2016-01-01,25,458029,14.0,0,2016,1,1,4,53,0,1,1,0,0
66459192,2016-01-01,25,459762,7.0,0,2016,1,1,4,53,0,1,1,0,0
